# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-O" "-M" "--fraction" "-p" "-t" "region" "-g" "ID" "-a" "../../07_transcriptomics/dfir_regions.gff" "-o" "regions_gDNA_illumina.txt" "minimap_align_illumina_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	minimap_align_illumina_sort.bam
contig_31_np1212:1..2500	contig_31_np1212	1	2500	+	2500	5009
contig_31_np1212:2501..5000	contig_31_np1212	2501	5000	+	2500	6940
contig_31_np1212:5001..7500	contig_31_np1212	5001	7500	+	2500	6826
contig_31_np1212:7501..10000	contig_31_np1212	7501	10000	+	2500	6792
contig_31_np1212:10001..12500	contig_31_np1212	10001	12500	+	2500	6083
contig_31_np1212:12501..15000	contig_31_np1212	12501	15000	+	2500	6305.50
contig_31_np1212:15001..17500	contig_31_np1212	15001	17500	+	2500	7173.50
contig_31_np1212:17501..20000	contig_31_np1212	17501	20000	+	2500	7019
contig_31_np1212:20001..22500	contig_31_np1212	20001	22500	+	2500	7603
contig_31_np1212:22501..25000	contig_31_np1212	22501	25000	+	2500	7848
contig_31_np1212:25001..27500	contig_31_np1212	25001	27500	+	2500	7306.50
contig_31_np1212:27501..30000	contig_31_np1212	27501	30000	+	2500	7425
contig_31_np1212:30001..32500	contig_31_np1212	30001	32500	+	2500	6424.50
contig_31_np1212:32501..35000	contig_31_np1212	32501	35000	+	2500	7001.50
contig_31_np1212:35001..37500	contig_31_np1212	35001	37500	+	2500	7039.50
contig_31_np1212:37501..40000	contig_31_np1212	37501	40000	+	2500	7078
contig_31_np1212:40001..42500	contig_31_np1212	40001	42500	+	2500	6921
contig_31_np1212:42501..45000	contig_31_np1212	42501	45000	+	2500	7124.50
contig_31_np1212:45001..47500	contig_31_np1212	45001	47500	+	2500	7319.50
contig_31_np1212:47501..50000	contig_31_np1212	47501	50000	+	2500	7337.50
contig_31_np1212:50001..52500	contig_31_np1212	50001	52500	+	2500	7123.50
contig_31_np1212:52501..55000	contig_31_np1212	52501	55000	+	2500	7176
contig_31_np1212:55001..57500	contig_31_np1212	55001	57500	+	2500	7388
contig_31_np1212:57501..60000	contig_31_np1212	57501	60000	+	2500	8122.50
contig_31_np1212:60001..62500	contig_31_np1212	60001	62500	+	2500	7260
contig_31_np1212:62501..65000	contig_31_np1212	62501	65000	+	2500	6457.50
contig_31_np1212:65001..67500	contig_31_np1212	65001	67500	+	2500	7160
contig_31_np1212:67501..70000	contig_31_np1212	67501	70000	+	2500	6977.50
contig_31_np1212:70001..72500	contig_31_np1212	70001	72500	+	2500	7285.50
contig_31_np1212:72501..75000	contig_31_np1212	72501	75000	+	2500	6797.50
contig_31_np1212:75001..77500	contig_31_np1212	75001	77500	+	2500	7232
contig_31_np1212:77501..80000	contig_31_np1212	77501	80000	+	2500	7008
contig_31_np1212:80001..82500	contig_31_np1212	80001	82500	+	2500	7603.50
contig_31_np1212:82501..85000	contig_31_np1212	82501	85000	+	2500	7791.50
contig_31_np1212:85001..87500	contig_31_np1212	85001	87500	+	2500	7182.50
contig_31_np1212:87501..90000	contig_31_np1212	87501	90000	+	2500	5874
contig_31_np1212:90001..92500	contig_31_np1212	90001	92500	+	2500	5395
contig_31_np1212:92501..95000	contig_31_np1212	92501	95000	+	2500	6698.50
contig_31_np1212:95001..97500	contig_31_np1212	95001	97500	+	2500	7182
contig_31_np1212:97501..100000	contig_31_np1212	97501	100000	+	2500	6648.50
contig_31_np1212:100001..102500	contig_31_np1212	100001	102500	+	2500	7327.50
contig_31_np1212:102501..105000	contig_31_np1212	102501	105000	+	2500	6067
contig_31_np1212:105001..107500	contig_31_np1212	105001	107500	+	2500	6654
contig_31_np1212:107501..110000	contig_31_np1212	107501	110000	+	2500	6287
contig_31_np1212:110001..112500	contig_31_np1212	110001	112500	+	2500	7302
contig_31_np1212:112501..115000	contig_31_np1212	112501	115000	+	2500	7237
contig_31_np1212:115001..117500	contig_31_np1212	115001	117500	+	2500	7389
contig_31_np1212:117501..120000	contig_31_np1212	117501	120000	+	2500	7486.50
contig_31_np1212:120001..122500	contig_31_np1212	120001	122500	+	2500	7593
contig_31_np1212:122501..125000	contig_31_np1212	122501	125000	+	2500	7172
contig_31_np1212:125001..127500	contig_31_np1212	125001	127500	+	2500	6792
contig_31_np1212:127501..130000	contig_31_np1212	127501	130000	+	2500	7592.50
contig_31_np1212:130001..132500	contig_31_np1212	130001	132500	+	2500	7274.50
contig_31_np1212:132501..135000	contig_31_np1212	132501	135000	+	2500	7147
contig_31_np1212:135001..137500	contig_31_np1212	135001	137500	+	2500	6635
contig_31_np1212:137501..140000	contig_31_np1212	137501	140000	+	2500	7740.50
contig_31_np1212:140001..142500	contig_31_np1212	140001	142500	+	2500	8338
contig_31_np1212:142501..145000	contig_31_np1212	142501	145000	+	2500	7686.50
contig_31_np1212:145001..147500	contig_31_np1212	145001	147500	+	2500	6437.50
contig_31_np1212:147501..150000	contig_31_np1212	147501	150000	+	2500	7407.50
contig_31_np1212:150001..152500	contig_31_np1212	150001	152500	+	2500	6158
contig_31_np1212:152501..155000	contig_31_np1212	152501	155000	+	2500	6724.50
