# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "10" "-M" "--fraction" "-p" "-t" "gene" "-g" "Name" "-a" "../zenodo_folder/genomes/genomic.gff" "-o" "counts/counts_dfir2.txt" "star_map_dfir2/Dfir-0h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-0h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-0h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-16h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" "star_map_dfir2/Dfir-24h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_dfir2/Dfir-0h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-0h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-0h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-16h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-A_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-B_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam	star_map_dfir2/Dfir-24h-C_R1_001_cutadapt.fastq.gzAligned.sortedByCoord.out.bam
RB653_010779	CM069765.1	3774	3847	+	74	0	0	0	0	0	0	0	0	0
RB653_003324	CM069765.1	5010	8310	+	3301	244	398	172	368	172	352	452	152	630
RB653_003325	CM069765.1	8575	10467	+	1893	78	6239	2847	66	16	210	384	164	4892
RB653_003326	CM069765.1	10789	12401	+	1613	404.30	773.95	1073.87	326.63	350	329.72	745.03	337.73	787.50
RB653_003336	CM069765.1	13578	18014	-	4437	24.13	292.31	123.68	20.14	61.24	56.34	9.85	14.45	319.35
RB653_010780	CM069765.1	18571	18644	-	74	0	0	0	0	0	0	0	0	2
RB653_003327	CM069765.1	20054	20407	+	354	7849	956.00	3741	1934.00	5225.00	1615.00	1675	1788	1019
RB653_003337	CM069765.1	20487	21801	-	1315	546	450	390	162	112	42	120	28	316
RB653_003328	CM069765.1	22136	27167	+	5032	10	412	80	156	884	232	196	104	1092
RB653_003338	CM069765.1	26686	27853	-	1168	353	430	146	8	4	20	30	15	208
RB653_003339	CM069765.1	28148	28570	-	423	192	192	268	50	8	20	24	21	94
RB653_003329	CM069765.1	28694	29242	+	549	18	10	14	5	0	2	5	2	3
RB653_003340	CM069765.1	29304	34008	-	4705	346	242	293	8714	7811	14756.50	9357	7004	9273.00
RB653_003330	CM069765.1	35813	48922	+	13110	2396	2032	1212	14782	13870	14679	9475	8618	10272
RB653_003341	CM069765.1	48976	49965	-	990	2973	104	468	197	0	56	80	20	4329
RB653_010781	CM069765.1	51669	51741	-	73	0	0	0	0	0	0	0	0	2
RB653_003342	CM069765.1	53503	55293	-	1791	932	2372	1109.00	1410	1844	944	557	584	2115
RB653_003331	CM069765.1	55464	58779	+	3316	588	1845	930	1652	1994	2130	1318	1066	3576
RB653_003332	CM069765.1	61195	66466	+	5272	364	2612	548.57	1970	6722	11750.67	6035.50	8973	15136.00
RB653_003343	CM069765.1	66421	68247	-	1827	802	714	404	2482	586	1944	3233	1492	1291
RB653_003344	CM069765.1	68608	69157	-	550	499921.50	83165.50	239810.00	131252.00	286077.50	74915.00	204344.50	84223.50	93519.50
RB653_003345	CM069765.1	70256	73358	-	3103	304	1074	592	1937.50	1729	2906	1780	924	2902
RB653_003333	CM069765.1	73840	75035	+	1196	697	119	317	796	232	436	606	295	383
RB653_003334	CM069765.1	75755	79414	+	3660	173.29	1429.43	418.67	1057.95	362.35	288.84	659.69	223.25	2980.74
RB653_003346	CM069765.1	79578	79787	-	210	243	59	139	40	11	34	37	38	100
RB653_003335	CM069765.1	80531	82048	+	1518	32	16	22	20	2	28	18	8	88
