# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-O" "--fraction" "-M" "--fraction" "-p" "-t" "region" "-g" "ID" "-a" "dfir_regions.gff" "-o" "counts/regions_dfir.txt" "star_map_dfir/Dfir-0h-A.bam" "star_map_dfir/Dfir-0h-B.bam" "star_map_dfir/Dfir-0h-C.bam" "star_map_dfir/Dfir-16h-A.bam" "star_map_dfir/Dfir-16h-B.bam" "star_map_dfir/Dfir-16h-C.bam" "star_map_dfir/Dfir-24h-A.bam" "star_map_dfir/Dfir-24h-B.bam" "star_map_dfir/Dfir-24h-C.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_dfir/Dfir-0h-A.bam	star_map_dfir/Dfir-0h-B.bam	star_map_dfir/Dfir-0h-C.bam	star_map_dfir/Dfir-16h-A.bam	star_map_dfir/Dfir-16h-B.bam	star_map_dfir/Dfir-16h-C.bam	star_map_dfir/Dfir-24h-A.bam	star_map_dfir/Dfir-24h-B.bam	star_map_dfir/Dfir-24h-C.bam
contig_31_np1212:1..2500	contig_31_np1212	1	2500	+	2500	142.50	72.50	63	175	55.50	125	223.50	92.50	218.50
contig_31_np1212:2501..5000	contig_31_np1212	2501	5000	+	2500	352.47	99.92	195.91	301.39	200.94	162.60	304.11	151.73	394.71
contig_31_np1212:5001..7500	contig_31_np1212	5001	7500	+	2500	161	344	156	301	143	276	351	109	522
contig_31_np1212:7501..10000	contig_31_np1212	7501	10000	+	2500	108	4604	2084.50	112.50	35.50	231	380.50	160.50	3738
contig_31_np1212:10001..12500	contig_31_np1212	10001	12500	+	2500	457.68	2463.95	1855.37	347.13	359.50	384.72	849.53	384.23	2049.50
contig_31_np1212:12501..15000	contig_31_np1212	12501	15000	+	2500	1858.28	452.26	1813.07	306.41	364.54	176.95	49.70	88.26	392.11
contig_31_np1212:15001..17500	contig_31_np1212	15001	17500	+	2500	3.20	140.46	31.60	1.17	27.20	26.07	2.50	2.90	141.23
contig_31_np1212:17501..20000	contig_31_np1212	17501	20000	+	2500	267.79	94.04	251.99	22.11	7.29	7.35	6	4	94.92
contig_31_np1212:20001..22500	contig_31_np1212	20001	22500	+	2500	8438	1418.00	4152	2113.00	5342.50	1663.50	1813	1823	1344
contig_31_np1212:22501..25000	contig_31_np1212	22501	25000	+	2500	0	154.50	21	42	123	65.50	51.50	31	389
contig_31_np1212:25001..27500	contig_31_np1212	25001	27500	+	2500	383.50	681	196	136.50	791.50	191.75	192	92	877.50
contig_31_np1212:27501..30000	contig_31_np1212	27501	30000	+	2500	717	581.50	522	5162	5063	8001.75	5634	4124.50	5158.50
contig_31_np1212:30001..32500	contig_31_np1212	30001	32500	+	2500	53.50	80.50	103	3199	2351	5716.50	3231.50	2494	3735
contig_31_np1212:32501..35000	contig_31_np1212	32501	35000	+	2500	12	24.50	41	466.50	409.50	1079.50	546	439.50	617
contig_31_np1212:35001..37500	contig_31_np1212	35001	37500	+	2500	1197.50	297.50	500	3012.50	1296.50	1972.50	1975.50	1244.50	1380
contig_31_np1212:37501..40000	contig_31_np1212	37501	40000	+	2500	314.50	370	157	2117	2308.50	2197	1375	1203.50	1493.50
contig_31_np1212:40001..42500	contig_31_np1212	40001	42500	+	2500	44	162	51	618	1309.50	940	434	511.50	716
contig_31_np1212:42501..45000	contig_31_np1212	42501	45000	+	2500	34	204.50	78	1012.50	1425.50	1282.50	517.50	719	1023
contig_31_np1212:45001..47500	contig_31_np1212	45001	47500	+	2500	137.50	479.50	133	3025.50	2892	3571.25	1769	1948.50	2610.50
contig_31_np1212:47501..50000	contig_31_np1212	47501	50000	+	2500	3654.50	626.50	769	5203.50	4638	4802.75	3493	3013	7397
contig_31_np1212:50001..52500	contig_31_np1212	50001	52500	+	2500	2.50	0.57	4.79	1.14	1.50	1.71	0.50	4.57	8.43
contig_31_np1212:52501..55000	contig_31_np1212	52501	55000	+	2500	945.75	2176	1018.00	1288.50	1749.50	880.50	513.50	541	1886
contig_31_np1212:55001..57500	contig_31_np1212	55001	57500	+	2500	370.75	1439	675	1060.50	1473	1394.50	839.50	681.50	2511
contig_31_np1212:57501..60000	contig_31_np1212	57501	60000	+	2500	303	617	360	734	622.50	810	529	438.50	1317.50
contig_31_np1212:60001..62500	contig_31_np1212	60001	62500	+	2500	109.50	160.50	76.00	78.50	106	540	243.50	383.50	639.50
contig_31_np1212:62501..65000	contig_31_np1212	62501	65000	+	2500	38.25	1392	123	608	3032	5852.83	2489	3927	7513.50
contig_31_np1212:65001..67500	contig_31_np1212	65001	67500	+	2500	783.50	1509	633.50	2850	3963.25	6618.50	5299	5623.75	7886
contig_31_np1212:67501..70000	contig_31_np1212	67501	70000	+	2500	500840.25	83534.50	240377.50	132666.75	286617.25	75862.67	206070.75	85019.00	94225.25
contig_31_np1212:70001..72500	contig_31_np1212	70001	72500	+	2500	285.25	801	462.50	1642.25	1731.75	2336	1473.50	714.25	2308.25
contig_31_np1212:72501..75000	contig_31_np1212	72501	75000	+	2500	769.75	401	487	1137.50	260.75	1043	939.25	523.50	1001
contig_31_np1212:75001..77500	contig_31_np1212	75001	77500	+	2500	113	363	227.50	341	43	122	213	78	764.50
contig_31_np1212:77501..80000	contig_31_np1212	77501	80000	+	2500	467.79	1162.43	429.17	859.45	342.85	275.84	560.19	222.25	2393.24
contig_31_np1212:80001..82500	contig_31_np1212	80001	82500	+	2500	204.50	51	122	1082.50	909	1031.50	1283.50	703	581.50
contig_31_np1212:82501..85000	contig_31_np1212	82501	85000	+	2500	278.50	236	329.83	5410.25	2986.50	4977.30	5416.29	2582.67	2910.33
contig_31_np1212:85001..87500	contig_31_np1212	85001	87500	+	2500	163.50	29.50	133	717.50	424	607.50	679.50	306	341
contig_31_np1212:87501..90000	contig_31_np1212	87501	90000	+	2500	34.50	227	28	174.75	588.50	942.50	365	238	710.50
contig_31_np1212:90001..92500	contig_31_np1212	90001	92500	+	2500	130.50	616	182	1155.50	1327.50	3239	1448	1244.50	2096
contig_31_np1212:92501..95000	contig_31_np1212	92501	95000	+	2500	477.50	724.67	567.67	10818.07	10527.00	27716.66	17365.07	13784.57	15544.91
contig_31_np1212:95001..97500	contig_31_np1212	95001	97500	+	2500	60	178	102	975.50	1308.75	3408.50	1722	1548.50	2228.50
contig_31_np1212:97501..100000	contig_31_np1212	97501	100000	+	2500	373	327	169	395	107.25	328.33	490	195.50	546.50
contig_31_np1212:100001..102500	contig_31_np1212	100001	102500	+	2500	1419.50	4787.00	2122	3652.75	8137.25	12157.67	9259.25	7111.50	9341.25
contig_31_np1212:102501..105000	contig_31_np1212	102501	105000	+	2500	1086.50	4187	1687	3905.50	7988.75	10813	7744.62	6783.75	9230.75
contig_31_np1212:105001..107500	contig_31_np1212	105001	107500	+	2500	15	24	52	170.75	143.50	160.50	166.62	92.25	336.50
contig_31_np1212:107501..110000	contig_31_np1212	107501	110000	+	2500	45.50	48	46	434	90.50	220.50	378	117.50	431.50
contig_31_np1212:110001..112500	contig_31_np1212	110001	112500	+	2500	814	774	480	1052.50	349.50	542	669.50	292.50	949
contig_31_np1212:112501..115000	contig_31_np1212	112501	115000	+	2500	238	409.50	186.50	300.50	218	326	213	168.50	720
contig_31_np1212:115001..117500	contig_31_np1212	115001	117500	+	2500	198.50	1204.92	606.50	253	926.50	1264.00	443.50	577.50	2258.08
contig_31_np1212:117501..120000	contig_31_np1212	117501	120000	+	2500	24	24.25	15	16	11	35.50	14	2	105.50
contig_31_np1212:120001..122500	contig_31_np1212	120001	122500	+	2500	510.08	204.05	383.50	16	5.52	12	32	10.50	482.92
contig_31_np1212:122501..125000	contig_31_np1212	122501	125000	+	2500	490.47	212.64	500.54	78.65	128.04	48.49	77.26	72.20	139.19
contig_31_np1212:125001..127500	contig_31_np1212	125001	127500	+	2500	15607.36	5484.08	12850.04	4192.50	9523.36	1392.39	1695.36	1175.50	2402.61
contig_31_np1212:127501..130000	contig_31_np1212	127501	130000	+	2500	159.05	117	158	731.50	350	480.50	806	440	346.50
