,ASM27748v1.fna,ASM3616959v1.fna
size,30559666.0,31455843.0
det_bases,26447036.0,31455843.0
contigs,997.0,12.0
ATp,75.23489588776603,76.01445620134866
nN,4112630.0,0.0
nGaps,6312.0,0.0
N50,176758.0,4391865.0
