Contig	Start	Stop	Illumina	Nanopore	mRNA
contig_9_np1212	1	2500	21577.164	1713.3136	0.9548
contig_9_np1212	2501	5000	31304.5676	2677.6032	1.0688
contig_9_np1212	5001	7500	27017.1624	3445.7172	26.5948
contig_9_np1212	7501	10000	33496.3628	5491.424	45.4812
contig_9_np1212	10001	12500	32076.0372	7283.1	23.7644
contig_9_np1212	12501	15000	31735.5616	8379.742	28.1204
contig_9_np1212	15001	17500	26852.4952	9578.3104	7.6632
contig_9_np1212	17501	20000	29468.2608	10866.4068	12.196
contig_9_np1212	20001	22500	29866.3024	12017.486	11.2964
contig_9_np1212	22501	25000	24656.8684	14124.8476	17.2516
contig_9_np1212	25001	27500	31335.8952	16361.546	0.238
contig_9_np1212	27501	30000	35569.7284	17847.6556	1.4092
contig_9_np1212	30001	32500	25252.7716	15572.3432	0.7848
contig_9_np1212	32501	35000	19935.2656	12391.6752	10.3476
contig_9_np1212	35001	37500	12338.6516	9770.7356	4.1292
contig_9_np1212	37501	37757	4390.735408560311	6666.272373540856	5.607003891050583
contig_57_np1212	1	2500	5715.2516	113.6744	9.5608
contig_57_np1212	2501	5000	358.8748	119.566	305.5156
contig_57_np1212	5001	7500	350.8192	129.7896	580.072
contig_57_np1212	7501	10000	405.876	133.9676	1243.0496
contig_57_np1212	10001	12500	422.5264	140.6884	565.3664
contig_57_np1212	12501	15000	424.3628	153.3448	805.8932
contig_57_np1212	15001	17500	434.8172	151.526	326.0112
contig_57_np1212	17501	20000	370.9092	145.4408	175.8364
contig_57_np1212	20001	22500	291.6052	170.5292	124.0632
contig_57_np1212	22501	25000	322.0452	188.7792	1664.0064
contig_57_np1212	25001	27500	420.5136	168.9724	825.922
contig_57_np1212	27501	30000	427.6212	152.6136	1815.5392
contig_57_np1212	30001	32500	444.5864	149.2664	982.6428
contig_57_np1212	32501	35000	389.2544	151.7224	1034.0952
contig_57_np1212	35001	37500	445.0444	164.6496	634.698
contig_57_np1212	37501	40000	427.0568	164.6688	2681.9388
contig_57_np1212	40001	42500	446.9424	170.8012	4340.5456
contig_57_np1212	42501	45000	425.3112	164.1176	266.3932
contig_57_np1212	45001	47500	385.5716	174.4336	127.1676
contig_57_np1212	47501	50000	451.3436	181.5668	672.1084
contig_57_np1212	50001	52500	448.874	187.5728	69.0704
contig_57_np1212	52501	55000	439.5888	185.6628	5231.0816
contig_57_np1212	55001	57500	447.0484	185.5448	455.082
contig_57_np1212	57501	60000	440.6208	177.066	216.2932
contig_57_np1212	60001	62500	388.6404	173.2296	66.5632
contig_57_np1212	62501	65000	372.6516	171.6468	214.1928
contig_57_np1212	65001	67500	403.142	176.028	690.2448
contig_57_np1212	67501	70000	408.4932	172.6396	862.7224
contig_57_np1212	70001	72500	453.6304	173.766	315.6804
contig_57_np1212	72501	75000	387.9468	180.7348	126.7604
