# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-O" "--fraction" "-M" "--fraction" "-p" "-t" "region" "-g" "ID" "-a" "ddis_regions.gff" "-o" "counts/regions_ddis.txt" "star_map_ddis/Ddis-0h-A.bam" "star_map_ddis/Ddis-0h-B.bam" "star_map_ddis/Ddis-0h-C.bam" "star_map_ddis/Ddis-16h-A.bam" "star_map_ddis/Ddis-16h-B.bam" "star_map_ddis/Ddis-16h-C.bam" "star_map_ddis/Ddis-24h-A.bam" "star_map_ddis/Ddis-24h-B.bam" "star_map_ddis/Ddis-24h-C.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_ddis/Ddis-0h-A.bam	star_map_ddis/Ddis-0h-B.bam	star_map_ddis/Ddis-0h-C.bam	star_map_ddis/Ddis-16h-A.bam	star_map_ddis/Ddis-16h-B.bam	star_map_ddis/Ddis-16h-C.bam	star_map_ddis/Ddis-24h-A.bam	star_map_ddis/Ddis-24h-B.bam	star_map_ddis/Ddis-24h-C.bam
NC_007087.3:1..2500	NC_007087.3	1	2500	+	2500	4.67	117.30	38.30	26.45	180.02	345.75	170.45	519.29	462.98
NC_007087.3:2501..5000	NC_007087.3	2501	5000	+	2500	38.16	272.11	129.07	129.04	452.97	608.32	506.68	1388.07	1103.68
NC_007087.3:5001..7500	NC_007087.3	5001	7500	+	2500	9.83	130.44	67.05	20.31	254.56	313.23	186.09	705.14	492.24
NC_007087.3:7501..10000	NC_007087.3	7501	10000	+	2500	16.96	73.07	60.98	58.29	162.20	196.10	130.75	567.55	326.92
NC_007087.3:10001..12500	NC_007087.3	10001	12500	+	2500	15.70	165.32	66.41	94.60	325.79	342.23	438.78	996.10	681.52
NC_007087.3:12501..15000	NC_007087.3	12501	15000	+	2500	0	0	0	0	3.09	0	0	0	0.67
NC_007087.3:15001..17500	NC_007087.3	15001	17500	+	2500	87.25	121.20	32.75	210.94	110.00	80.50	225.33	127.25	178.93
NC_007087.3:17501..20000	NC_007087.3	17501	20000	+	2500	0	0	0	2	0	6	4	9	1
NC_007087.3:20001..22500	NC_007087.3	20001	22500	+	2500	0	0	0	0	0	0	4	2.50	0
NC_007087.3:22501..25000	NC_007087.3	22501	25000	+	2500	4.78	2.36	7.37	11.32	3.02	11.20	15.83	36.47	15.63
NC_007087.3:25001..27500	NC_007087.3	25001	27500	+	2500	2.00	23.51	29.75	56.49	122.38	58.41	79.58	359.47	191.58
NC_007087.3:27501..30000	NC_007087.3	27501	30000	+	2500	36.41	160.49	133.55	68.67	180.31	317.49	169.77	670.83	409.04
NC_007087.3:30001..32500	NC_007087.3	30001	32500	+	2500	18.58	280.74	120.68	105.81	472.74	581.30	435.12	1378.88	954.09
NC_007087.3:32501..35000	NC_007087.3	32501	35000	+	2500	17.60	114.71	48.52	42.93	222.06	307.75	148.20	717.19	407.45
