# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "10" "-M" "--fraction" "-p" "-t" "gene" "-g" "Name" "-a" "../firmibasis_comparative_genomics/05_reference_genomes/ddis_combined_annotation.gff" "-o" "counts/counts_ddis.txt" "star_map_ddis/Ddis-0h-A.bam" "star_map_ddis/Ddis-0h-B.bam" "star_map_ddis/Ddis-0h-C.bam" "star_map_ddis/Ddis-16h-A.bam" "star_map_ddis/Ddis-16h-B.bam" "star_map_ddis/Ddis-16h-C.bam" "star_map_ddis/Ddis-24h-A.bam" "star_map_ddis/Ddis-24h-B.bam" "star_map_ddis/Ddis-24h-C.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_ddis/Ddis-0h-A.bam	star_map_ddis/Ddis-0h-B.bam	star_map_ddis/Ddis-0h-C.bam	star_map_ddis/Ddis-16h-A.bam	star_map_ddis/Ddis-16h-B.bam	star_map_ddis/Ddis-16h-C.bam	star_map_ddis/Ddis-24h-A.bam	star_map_ddis/Ddis-24h-B.bam	star_map_ddis/Ddis-24h-C.bam
DDB_G0267178	NC_007087.3	1890	3287	+	1398	11.64	242.64	84.33	95.37	456.78	603.19	451.13	1338.32	1043.13
DDB_G0267180	NC_007087.3	3848	4855	+	1008	28.43	139.66	77.24	53.20	169.18	324.79	213.62	542.12	506.23
DDB_G0267182	NC_007087.3	5505	7769	+	2265	5.66	120.62	66.80	49.54	249.66	233.32	179.89	710.25	459.63
DDB_G0267184	NC_007087.3	8308	9522	-	1215	9.31	52.75	45.29	20.88	113.69	162.89	85.80	380.71	248.08
DDB_G0267186	NC_007087.3	9635	9889	-	255	1.56	5.93	4.72	2.22	4.51	10.56	6.78	33.19	11.76
DDB_G0267188	NC_007087.3	10033	12183	+	2151	14.37	152.45	62.53	92.66	298.13	281.83	418.04	920.78	618.82
DDB_G0267190	NC_007087.3	12436	13044	-	609	0	0	0	0	2.89	0	0	0	0.67
DDB_G0267192	NC_007087.3	16686	17247	-	562	0	2	0	1	2	0.50	1.50	4	2
DDB_G0267194	NC_007087.3	17379	17833	+	455	0	0	0	0	0	1	0	2	0
DDB_G0267196	NC_007087.3	17928	18299	+	372	0	0	0	0	0	0	0	0	0
