# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-O" "-M" "--fraction" "-t" "region" "-g" "ID" "-a" "../../07_transcriptomics/dfir_regions.gff" "-o" "regions_sRNA.txt" "ShortStack_1701260578/merged_alignments.bam" 
Geneid	Chr	Start	End	Strand	Length	ShortStack_1701260578/merged_alignments.bam
contig_31_np1212:1..2500	contig_31_np1212	1	2500	+	2500	4
contig_31_np1212:2501..5000	contig_31_np1212	2501	5000	+	2500	108
contig_31_np1212:5001..7500	contig_31_np1212	5001	7500	+	2500	13
contig_31_np1212:7501..10000	contig_31_np1212	7501	10000	+	2500	23
contig_31_np1212:10001..12500	contig_31_np1212	10001	12500	+	2500	11
contig_31_np1212:12501..15000	contig_31_np1212	12501	15000	+	2500	1360.50
contig_31_np1212:15001..17500	contig_31_np1212	15001	17500	+	2500	2959
contig_31_np1212:17501..20000	contig_31_np1212	17501	20000	+	2500	640.50
contig_31_np1212:20001..22500	contig_31_np1212	20001	22500	+	2500	25
contig_31_np1212:22501..25000	contig_31_np1212	22501	25000	+	2500	4
contig_31_np1212:25001..27500	contig_31_np1212	25001	27500	+	2500	45.50
contig_31_np1212:27501..30000	contig_31_np1212	27501	30000	+	2500	19.50
contig_31_np1212:30001..32500	contig_31_np1212	30001	32500	+	2500	31
contig_31_np1212:32501..35000	contig_31_np1212	32501	35000	+	2500	12
contig_31_np1212:35001..37500	contig_31_np1212	35001	37500	+	2500	30
contig_31_np1212:37501..40000	contig_31_np1212	37501	40000	+	2500	63.50
contig_31_np1212:40001..42500	contig_31_np1212	40001	42500	+	2500	47
contig_31_np1212:42501..45000	contig_31_np1212	42501	45000	+	2500	40.50
contig_31_np1212:45001..47500	contig_31_np1212	45001	47500	+	2500	63.50
contig_31_np1212:47501..50000	contig_31_np1212	47501	50000	+	2500	61.50
contig_31_np1212:50001..52500	contig_31_np1212	50001	52500	+	2500	2593.50
contig_31_np1212:52501..55000	contig_31_np1212	52501	55000	+	2500	1988.50
contig_31_np1212:55001..57500	contig_31_np1212	55001	57500	+	2500	9
contig_31_np1212:57501..60000	contig_31_np1212	57501	60000	+	2500	15.50
contig_31_np1212:60001..62500	contig_31_np1212	60001	62500	+	2500	14.50
contig_31_np1212:62501..65000	contig_31_np1212	62501	65000	+	2500	35.50
contig_31_np1212:65001..67500	contig_31_np1212	65001	67500	+	2500	58
contig_31_np1212:67501..70000	contig_31_np1212	67501	70000	+	2500	201.50
contig_31_np1212:70001..72500	contig_31_np1212	70001	72500	+	2500	1743.50
contig_31_np1212:72501..75000	contig_31_np1212	72501	75000	+	2500	37.50
contig_31_np1212:75001..77500	contig_31_np1212	75001	77500	+	2500	7
contig_31_np1212:77501..80000	contig_31_np1212	77501	80000	+	2500	22
contig_31_np1212:80001..82500	contig_31_np1212	80001	82500	+	2500	37
contig_31_np1212:82501..85000	contig_31_np1212	82501	85000	+	2500	47
contig_31_np1212:85001..87500	contig_31_np1212	85001	87500	+	2500	2
contig_31_np1212:87501..90000	contig_31_np1212	87501	90000	+	2500	14
contig_31_np1212:90001..92500	contig_31_np1212	90001	92500	+	2500	40
contig_31_np1212:92501..95000	contig_31_np1212	92501	95000	+	2500	33
contig_31_np1212:95001..97500	contig_31_np1212	95001	97500	+	2500	32.50
contig_31_np1212:97501..100000	contig_31_np1212	97501	100000	+	2500	21.50
contig_31_np1212:100001..102500	contig_31_np1212	100001	102500	+	2500	16
contig_31_np1212:102501..105000	contig_31_np1212	102501	105000	+	2500	23
contig_31_np1212:105001..107500	contig_31_np1212	105001	107500	+	2500	2
contig_31_np1212:107501..110000	contig_31_np1212	107501	110000	+	2500	6
contig_31_np1212:110001..112500	contig_31_np1212	110001	112500	+	2500	11
contig_31_np1212:112501..115000	contig_31_np1212	112501	115000	+	2500	9
contig_31_np1212:115001..117500	contig_31_np1212	115001	117500	+	2500	23
contig_31_np1212:117501..120000	contig_31_np1212	117501	120000	+	2500	461.50
contig_31_np1212:120001..122500	contig_31_np1212	120001	122500	+	2500	216
contig_31_np1212:122501..125000	contig_31_np1212	122501	125000	+	2500	291
contig_31_np1212:125001..127500	contig_31_np1212	125001	127500	+	2500	913.50
contig_31_np1212:127501..130000	contig_31_np1212	127501	130000	+	2500	6
contig_31_np1212:130001..132500	contig_31_np1212	130001	132500	+	2500	9
contig_31_np1212:132501..135000	contig_31_np1212	132501	135000	+	2500	8
contig_31_np1212:135001..137500	contig_31_np1212	135001	137500	+	2500	14
contig_31_np1212:137501..140000	contig_31_np1212	137501	140000	+	2500	17
contig_31_np1212:140001..142500	contig_31_np1212	140001	142500	+	2500	311.50
contig_31_np1212:142501..145000	contig_31_np1212	142501	145000	+	2500	2524.50
contig_31_np1212:145001..147500	contig_31_np1212	145001	147500	+	2500	80
contig_31_np1212:147501..150000	contig_31_np1212	147501	150000	+	2500	2962
contig_31_np1212:150001..152500	contig_31_np1212	150001	152500	+	2500	81
contig_31_np1212:152501..155000	contig_31_np1212	152501	155000	+	2500	21
contig_31_np1212:155001..157500	contig_31_np1212	155001	157500	+	2500	35
contig_31_np1212:157501..160000	contig_31_np1212	157501	160000	+	2500	47
contig_31_np1212:160001..162500	contig_31_np1212	160001	162500	+	2500	9
contig_31_np1212:162501..165000	contig_31_np1212	162501	165000	+	2500	81
contig_31_np1212:165001..167500	contig_31_np1212	165001	167500	+	2500	6
contig_31_np1212:167501..170000	contig_31_np1212	167501	170000	+	2500	72
contig_31_np1212:170001..172500	contig_31_np1212	170001	172500	+	2500	6
contig_31_np1212:172501..175000	contig_31_np1212	172501	175000	+	2500	85
contig_31_np1212:175001..177500	contig_31_np1212	175001	177500	+	2500	1416
contig_31_np1212:177501..180000	contig_31_np1212	177501	180000	+	2500	62
contig_31_np1212:180001..182500	contig_31_np1212	180001	182500	+	2500	1534
